transaction_hash,block_number,timestamp,chain,from_address,to_address,amount_usd,gas_fee_usd,token_symbol,tx_type,status,year,month,day
0xcfcd208495d565ef66e7dff9f98764da,18684673,2024-01-01 00:00:00,ethereum,0x7abc639eac9341d874a38cfaa31fdd5d,0x36dd49488ea744e26a2209907207ca73,248.88,2.2113,ETH,transfer,confirmed,2024,1,1
0xc4ca4238a0b923820dcc509a6f75849b,18547875,2024-01-01 00:20:00,polygon,0x9655f83cc2e491a9ec86408f0b29707f,0x25c33903b16c17181fff969dee441fe2,92.78,2.9507,ETH,transfer,confirmed,2024,1,1
0xc81e728d9d4c2f636f067f89cc14862c,18177337,2024-01-01 00:40:00,ethereum,0x3d2bdd7127d5b13d05db0eb63c54153c,0xf81bc33bca062e4a5c55dcef16f78ebc,1024.67,2.3916,BTC,transfer,confirmed,2024,1,1
0xeccbc87e4b5ce2fe28308fd9f2a7baf3,18691368,2024-01-01 01:00:00,ethereum,0x66a7b361e0dfccab8c8146a49781a7a1,0x96a3f27d70f5614b8a3b17257f781a2e,155.15,4.6628,USDC,transfer,confirmed,2024,1,1
0xa87ff679a2f3e71d9181a67b7542122c,18239305,2024-01-01 01:20:00,ethereum,0x6e534aee15dd957db5509154f74fbb62,0x81544975cc160ddf4ca4e864c4973b90,10360.86,1.8621,MATIC,transfer,failed,2024,1,1
0xe4da3b7fbbce2345d7772b0674a318d5,18755432,2024-01-01 01:40:00,ethereum,0x7afaca50ca74f431d757c79b90873448,0xd18c4cb23a10d14f636ab755cb9ed1a5,28.36,7.4013,USDT,transfer,confirmed,2024,1,1
0x1679091c5a880faf6fb5e6087eb1b2dc,18843474,2024-01-01 02:00:00,solana,0x5a44fe3651bec157f3cf646e9a71b78f,0x5860ae442ba1734ea2152a48df27c73d,604.16,4.1525,USDC,mint,confirmed,2024,1,1
0x8f14e45fceea167a5a36dedd4bea2543,18349252,2024-01-01 02:20:00,solana,0xb1826747cd38457c483eaa7f144e766e,0x42058014ba333a403deee0b2e5d8b4bd,250.7,9.7286,USDT,stake,confirmed,2024,1,1
0xc9f0f895fb98ab9159f51fd0297e236d,18810181,2024-01-01 02:40:00,ethereum,0x468df68dcecda0299e6da726968a3dba,0x8271ebe3719920096e171eb057f38df0,443.15,4.1802,BTC,swap,confirmed,2024,1,1
0x45c48cce2e2d7fbdea1afc51c7c6ad26,18849844,2024-01-01 03:00:00,solana,0x7a9e23e20d7b107df43362f5fdad6574,0x80f977a8bdc0e884c2ffe5eee6052fe9,863.69,16.3342,USDC,swap,confirmed,2024,1,1
0xd3d9446802a44259755d38e6d163e820,18806273,2024-01-01 03:20:00,ethereum,0x3c34433f7618b5e90d81919c96c03cff,0x621c4b5daa1ad37a7c63a07c50c009ed,19.74,11.5021,ETH,swap,confirmed,2024,1,1
0x6512bd43d9caa6e02c990b0a82652dca,18228247,2024-01-01 03:40:00,ethereum,0xd2c3d7d9cf93bc76809e42c8af6d7a67,0x02f3b5c7a0ba589590f72c93a811095b,77396.61,3.9171,BTC,transfer,confirmed,2024,1,1
0xc20ad4d76fe97759aa27a0c99bff6710,18064766,2024-01-01 04:00:00,bitcoin,0xce9c629623d9c2ef3e724b7b656a7a76,0xe4e56a6d1c3554690c9df3e0f6682eff,2131.23,4.6496,MATIC,burn,confirmed,2024,1,1
0xc51ce410c124a10e0db5e4b97fc2af39,18384803,2024-01-01 04:20:00,ethereum,0x7e49671bbdf7196c59db8f1b8c973e4b,0x670548f36d5d97f96d6aa344bfed1e1a,233.78,6.3622,USDC,swap,failed,2024,1,1
0xaab3238922bcc25a6f606eb525ffdc56,18278583,2024-01-01 04:40:00,bitcoin,0x44e4771dc964fe9cbee316c7a3b2f196,0x362bf804f2d863b41c9db7ac977ea998,536.28,5.5886,BTC,transfer,confirmed,2024,1,1
0x9bf31c7ff062936a96d3c8bd1f8f2ff3,18405489,2024-01-01 05:00:00,bitcoin,0xdc6dd08dd9a835dab3f17eaa7f413d2e,0x8ff321ae19667fdf5a270d61de3e8284,73.65,2.7288,USDT,stake,confirmed,2024,1,1
0xc74d97b01eae257e44aa9d5bade97baf,18639425,2024-01-01 05:20:00,polygon,0x45ff989eb2826b41ffe5b67539610d3d,0x95fed106b5dbb96d08961e7e1ce8189c,7.96,2.0557,ETH,transfer,confirmed,2024,1,1
0x70efdf2ec9b086079795c442636b55fb,18860336,2024-01-01 05:40:00,polygon,0x462448dda93ff83b4c535d312baf33d7,0x183326747f177d5985a004afd7552c08,23.76,3.9476,USDT,transfer,confirmed,2024,1,1
0x6f4922f45568161a8cdf4ad2299f6d23,18835643,2024-01-01 06:00:00,solana,0x121f7c48298a4b87337defef069924d5,0x74f91f6fc3421bb1c3edce0176956bf4,396.73,3.4715,USDC,swap,failed,2024,1,1
0x1f0e3dad99908345f7439f8ffabdffc4,18075750,2024-01-01 06:20:00,bitcoin,0xedfafc948d914f469a5306dc1a4492ea,0xcf1ff989de77c963d8ecc1716c357b22,899.7,8.2071,USDT,stake,confirmed,2024,1,1
0x98f13708210194c475687be6106a3b84,18910699,2024-01-01 06:40:00,polygon,0x5793700343a62eb759b41f2003632cfd,0x3f9aa03dab5591c8ded5b7fee14a9c6f,595.77,2.4576,USDT,mint,confirmed,2024,1,1
0x3c59dc048e8850243be8079a5c74d079,18794868,2024-01-01 07:00:00,polygon,0xeee0aab16da98010e9ab145300fd0650,0x11af88e28351f91c6c2eff903bea6bda,403.23,5.7972,USDC,transfer,confirmed,2024,1,1
0xb6d767d2f8ed5d21a44b0e5886680cb9,18947415,2024-01-01 07:20:00,polygon,0x6423c2b12ffefa3268a6ea0959d1e46e,0xe353bd0e6e877a4e76c6489f0902b949,308.01,5.2705,ETH,transfer,confirmed,2024,1,1
